/single
/    best: 1.16
/    worst: 43.62
/
/mean of 3
/    current: 2.59
/    best: 2.59
/
/mean of 3
/    current: 2.59
/    best: 2.59
218. 6.11   lol  @R' F2 R U R' U2 R U2 R U' R2
219. 6.78   lol  @R' F2 R2 U' R2 U2 F R U R F
220. 3.59   lol  @R F' R2 U' R U' R F U' F' U
221. 4.92   lol  @U' F' R U R' F2 U' R U R' U'
222. 4.61   lol  @F R2 U' R2 U' R U' R' U2 F U
223. 5.61   lol  @U2 R F' U2 R F' U' R2 F U R2
224. 7.83   lol  @R' F R U2 R U R' U' F2 R2 U
225. 4.97   lol  @R U' R' U R' F U' R2 F' U F
226. 2.53   lol  @R' F R' F' R2 F' U' R2 F U R'
227. 4.76   lol  @R' F U' F R2 U2 F' U' R2 F U2
228. 8.39   lol  @U R' F R U R U2 R2 U F' R
229. 5.01   lol  @U F R U' R U' R' U R F' R
230. 4.92   lol  @R' U2 F U' F2 U2 R2 U' R' U' R
231. 7.63   lol  @R' F U' R U R' U F' R2 U' R2
232. 3.7   lol  @U' R U' R' U R U' R' F U F'
233. 4.8   lol  @U' R U2 R2 U' F U2 R2 U R' F
234. 7.03   lol  @R' U' R2 U2 F' U' R F' R' U2 R
235. 6.69   lol  @F R U' R U2 R' U' R U' F' U'
236. 5.93   lol  @F R2 F' R2 F R U' R2 U2 R' U'
237. 5.17   lol  @U R F U' R U R' F U' F R2
238. 2.79   lol  @U R' U2 F2 U2 R2 U2 R2 U' R2 U2
239. 3.49   lol  @R' U' R2 F' U2 R' U R' U' R U2
240. 5.27   lol  @R' F U' R F' R2 F U F' R U'
241. 3.74   lol  @R' F' U' F R U2 R' U2 R2 U' F'
242. 5.63   lol  @R' U2 R U R F U' R2 F R2 U2
243. 7.44   lol  @R' U' F' U2 R U' F U' R2 U2 R'
244. 6.19   lol  @F R U' R U' F' U2 R2 F R2 U2
245. 5.82   lol  @U R' U' F R' U2 F U' F' R U
246. 5.31   lol  @R' U' R2 F2 U R U R U2 R2 U'
247. 6.81   lol  @U' F U2 R U2 R F' R2 F U' F
248. 5.52   lol  @F U2 F R2 F' R2 F R U2 R U'
249. 6.99   lol  @R' F2 U2 F R U' R U' R' U F
250. 6.34   lol  @R' F U' R U' R' F' U2 R U' R
251. 5.01   lol  @R' F U2 R' U' R2 U2 F U' R U
252. 5.27   lol  @U R U' F U' R U' R U2 F' R'
253. 8.53   lol  @U F2 R U' R' U' F2 U2 R U R
254. 5.1   lol  @U R' U2 F' U' F U F' R2 U' R2
255. 6.27   lol  @U R' F R2 F' U2 R2 U2 F' U' R
256. 9.79   lol  @R' F' U2 R2 U' R2 F' U2 F R' U2
257. 4.35   lol  @U2 F' R' U R' U' R U R U' R'
258. 6.04   lol  @U' R U' F U2 R2 U' R2 U2 F R
259. 4.7   lol  @U2 R' U' F U2 F U' F2 R U2 R'
260. 6.43   lol  @R' F U' F U' F U' R2 F R2 U'
261. 3.75   lol  @R U' R2 F' R F U' F U2 R' F
262. 4.46   lol  @R' F' R2 U2 R2 U' F' U' R2 U2 R'
263. 5.73   lol  @U2 F' U' F R2 U' R2 F R U2 R
264. 2.98   lol  @U' R U2 R2 F U2 R2 U' R' U F'
265. 6.59   lol  @R F' R' F R U R U2 R' U R
266. 5.22   lol  @R' U' F' R U2 R' U' F R U R
267. 4.64   lol  @U2 R F U2 R2 F U' R U2 R' U2
268. 3.28   lol  @U' R F U' R2 F' R2 F U' F R2
269. 4.82   lol  @R' F U' F U2 R U' F U' F' U'
270. 2.68   lol  @U' R' U' F U' F R U R2 F R
271. 5.03   lol  @U2 R F' R' F' U' R2 U2 R' U' R
272. 5.03   lol  @R' F U' R' F U2 F R2 U2 R2 U
273. 5.68   lol  @R2 U2 F R2 U' R' U R' F U' R
274. 6.2   lol  @U R U' F' R' F U' R U' R F'
275. 5.84   lol  @R F' R' U' R' U2 F U' R2 U' R2
276. 7.13   lol  @R' F' U' R F U' R2 U' R2 F R
277. 8.41   lol  @U2 R U2 R' F' R2 U' R2 U' F R2
278. 3.97   lol  @R2 F U' F R2 F R U2 R' U' R2
279. 7.3   lol  @R' U' F U F U' R2 F' R2 F' R2
280. 6.85   lol  @R U2 R' U F' R2 U2 F R U R'
281. 4.28   lol  @R2 F R U' R F' U2 R2 F' U' F'
282. 6.99   lol  @U' R' U' F2 U' F U' F' U' R U
283. 4.57   lol  @R' F' R U' R U' R2 F U' F R2
284. 4.65   lol  @R' F U2 F U' F R2 U2 R' U' F
285. 6.94   lol  @R' F' U F' U2 R U R U2 R' U'
286. 6.99   lol  @U2 R' U' F U2 R2 U' R2 F U R'
287. 5.67   lol  @U R' U' R U2 R' U' F2 R' U2 F
288. 3.23   lol  @F R F R U R' U2 F U' R2 U'
289. 6.74   lol  @U F U' R' U' F U' R U' R' U2
290. 4.79   lol  @U R' U2 F2 R U R' F U2 F R
291. 4.09   lol  @R F' R' U R' U' F U R U R
292. 3.31   lol  @R U2 R2 U2 F U' R U2 R F U
293. 5.78   lol  @R U2 F' R2 F U' R U' F U2 R
294. 5.36   lol  @U' R' U' F R' F2 U' R U2 R U'
295. 4.66   lol  @U' R' F U' F' R2 U2 F' R' U R'
296. 5.37   lol  @R' U F U' R' U2 F' U' F' R U
297. 5.13   lol  @R2 F' R' U2 R' U' R2 U2 R2 F' R
298. 6.54   lol  @R' F U2 R2 U2 R2 F U2 F U' R2
299. 3.62   lol  @R F U2 F R U R' U R2 U' R'
300. 3.47   lol  @F U' F R2 U' R2 F U R2 U' R2
301. 6.54   lol  @R U2 R' U' R F R2 F U' R U2
302. 2.97   lol  @R' F R U R' F' R' F U R2 U2
303. 3.55   lol  @R U2 R2 F2 U' F R2 F' R' U R'
304. 5.46   lol  @U R' F U' F U R2 U' R2 U2 R
305. 4.19   lol  @U' R' F U2 F U' F' U' F U R'
306. 4.03   lol  @R' F' U' F R' U R' F U' F' U'
307. 6.44   lol  @R U2 R U' R' U F R2 U' R2 U'
308. 4.75   lol  @R' F' U' F' U' R U' F' U2 R U'
309. 4.71   lol  @R2 F U2 R U' R U2 R2 F R U
310. 5.82   lol  @U' R' F' U' R U R' U' F' R U2
311. 7.73   lol  @R' U' R2 U2 F R U2 F' U' R U'
312. 5.0   lol  @R' U R' U2 F' R U' R' F U2 R
313. 2.77   lol  @R' F' U' F R2 F' R2 F U' F R
314. 3.77   lol  @R U' R2 U2 R U' R' U F R2 F'
315. 6.36   lol  @R U2 R' F' U' R' U' R' U2 R U'
316. 5.41   lol  @R F R U' R F' U' R' U' R' F
317. 4.99   lol  @R' F U2 R U R' U F' U' R2 U'
318. 5.51   lol  @R' U2 F2 U2 R U' R' F U' R F'
319. 5.84   lol  @U2 R' F U2 R2 U2 R2 F U' R U'
320. 4.62   lol  @U R' U' F R' F2 R U' R' U' F
321. 2.21   lol  @F U' R2 F R U' R' U2 F R U
322. 7.0   lol  @R2 F U' R U' R' F U2 R2 U' R'
323. 4.48   lol  @U R' F R2 U R' F' U' R U' R'
324. 3.18   lol  @U2 R U' F' U' R2 U' F' R U F'
325. 4.53   lol  @U R U' R F' R2 F U' F U2 R
326. 4.03   lol  @R U' R2 U2 R F' U' F U' F R2
327. 6.48   lol  @R' F U' F U2 F U' R' U' R U'
328. 5.88   lol  @U R' U2 F' U2 F' R U' R' F2 R
329. 6.08   lol  @R U2 R' F R U' R' F U F R
330. 4.83   lol  @U' R U2 R2 U2 F' R U2 R F' R2
331. 6.48   lol  @R' F R2 U' F' U2 R2 F2 R U2 R'
332. 5.83   lol  @R' F U' F' U2 F U' F U2 R' F2
333. 4.53   lol  @R' U' R F' U2 R U R' U2 F2 R2
334. 4.68   lol  @F U2 R U2 R U2 F' R2 F U2 F
335. 5.23   lol  @R' F U F R U' R' F R' F U2
336. 7.16   lol  @R' U2 R U R U2 R2 U2 F U2 F
337. 3.53   lol  @R' U' F' R2 F' R' U2 R' F2 R2 U'
338. 4.45   lol  @R F' R2 F' U' F U2 F U2 F U2
339. 1.86   lol  @U' R' U' F' U2 R2 F' U2 R2 U2 F
340. 4.14   lol  @U2 R U' R2 F U' F U' R2 F' R'
341. 5.46   lol  @U2 R' U2 F U' F' R' F U' R U'
342. 4.49   lol  @F' U2 R2 F' U R U2 R' U2 R U
343. 5.51   lol  @U2 R' F2 U' R U' R' F U2 F R
344. 4.24   lol  @F' U' R U R' U' F' U' R2 F' R2
345. 5.86   lol  @U2 R U2 F' R U' R' U2 R' U2 F
346. 5.25   lol  @U R' F R' U2 F U' R U' R' U2
347. 8.19   lol  @R' U2 F U' R2 U2 R' U' R' U2 F
348. 5.75   lol  @U R U' R2 U' F2 R2 U2 R2 U' R2
349. 5.05   lol  @U R U R' F R2 U' R U2 R' U'
350. 4.33   lol  @R' U' F U2 R' U R' F R U R'
351. 5.29   lol  @U R' U2 F R2 U2 F R' U' R2 U2
352. 5.71   lol  @U' R' U' R U' R' F' U R U2 R'
353. 5.77   lol  @R' U' F' R U R' F R' U R' F
354. 4.48   lol  @R U' F' R2 U' R U' R2 U' R U
355. 5.45   lol  @U F R' U' R2 U' R' U' R' F U2
356. 6.86   lol  @R U' R2 U2 F U' F2 U2 R2 F' R'
357. 7.73   lol  @U' R' U2 F' R U' F R U2 R' U2
358. 3.93   lol  @R' U2 R' F U' R U R U2 F' U'
359. 7.28   lol  @R' U' R U R' U' F' R2 U' R' U2
360. 6.72   lol  @U' R U2 R' U R' F R2 U' R F
361. 4.83   lol  @F' R2 U' R U' R U2 R' U R' U'
362. 6.11   lol  @U2 F U2 F R2 F' R2 F R U2 R'
363. 3.99   lol  @R' F U F U2 R2 U' F' R U' R'
364. 6.05   lol  @U' R' U R F R U' R' U' F R2
365. 6.07   lol  @R' F U2 R U R2 U' R U' F U2
366. 6.7   lol  @R' U R2 U2 R' U F U2 R2 U2 R'
367. 5.52   lol  @U' R' U' F2 U' F' U2 F' U' R U'
368. 3.03   lol  @U' F' U' R2 U2 R U' R' U2 F R
369. 3.47   lol  @U' R' U R' F U2 F U2 F R2 U'
370. 4.82   lol  @U' R' U' R U2 R F' U' R2 F2 R2
371. 5.97   lol  @U R U' R2 F R U2 R U' R F'
372. 5.59   lol  @R' U' R2 F' R2 U F U2 F U2 F'
373. 6.95   lol  @R' F U' R U2 R' F R' U2 R U'
374. 5.18   lol  @R' U' F' R U R U2 R' U R' U'
375. 5.84   lol  @U R' U R2 F' U R' F R U2 R
376. 6.01   lol  @R' U' F' U' R F' U2 R2 F R2 U'
377. 4.32   lol  @R' U2 F R2 F' R2 F U R' U2 F
378. 4.63   lol  @R' U' F R F U' R' F U' R U2
379. 5.68   lol  @F U' F R U' R F' R' U2 R' U2
380. 6.3   lol  @R U' F U2 R U' F U' R U2 R'
381. 3.94   lol  @U R U2 R' U R U2 R2 F U' F2
382. 6.8   lol  @U' R' F U' R' U R' U2 F R U'
383. 6.59   lol  @U' F R' F U2 R U2 R' U R2 U'
384. 3.86   lol  @R' U2 R U F' U' R2 U2 F R U2
385. 5.36   lol  @U' R' F U' F R U2 R U2 R2 U'
386. 4.73   lol  @R U' F' R' U' R U R U2 F' U2
387. 8.45   lol  @U2 R U2 F' R' U R U2 R F R
388. 7.32   lol  @U' R U R2 U2 F R U R' U2 R
389. 5.03   lol  @U2 R' F' U' F U2 R U' F R U
390. 5.72   lol  @R' U' F R U' R F R' U2 F R
391. 7.55   lol  @R U' R2 F U2 F' U' F R F' R2
