No.;Time;Comment;Scramble;Date;P.1
3059;16.36;;B2 U2 B2 U2 F2 L2 F2 L' R2 D2 B2 D B' L2 U' F' D' L' D F;2021-01-31 17:52:47;16.36
3060;12.62;;D F R' B2 D L2 D B2 D2 F2 U F2 U R B F D U B2 R';2021-01-31 17:53:17;12.62
3061;12.55;;L F' R2 B' U2 R2 B2 L2 F D2 L2 U2 D' B2 L' B' L2 B2 F' L';2021-01-31 17:53:40;12.55
3062;12.33;;R F' U L2 D R2 D2 U' L2 B2 U R2 B2 L' B R U' B L' B';2021-01-31 17:54:05;12.33
3063;13.55;;F2 B' L U2 L' F D' B2 R' F2 L B2 L U2 B2 R' B2 L B D F';2021-01-31 17:54:29;13.55
3064;11.18;;F' R2 F' L2 R2 U2 F' D2 B2 L2 F U B2 R U' L' D2 F' U' L;2021-01-31 17:54:56;11.18
3065;15.96;;R2 F' D' L2 F2 U' F2 L2 D' F2 D' U2 R2 D L F R2 U' L2 D2 U2;2021-01-31 17:55:17;15.96
3066;12.50;;D' F R' U F' R' L2 F R' F2 L2 U2 F' R2 B' L2 U2 F2 R2 L2 F;2021-01-31 17:55:48;12.50
3067;12.92;;F D' B2 R B2 D2 L R B2 U2 L' U2 R' F2 D F' L U' R' B' U';2021-01-31 17:56:12;12.92
3068;13.80;;B2 D' F2 R2 D2 F2 D B2 R2 U' R2 B' U2 L B U' R F2 R2 F' L;2021-01-31 17:56:48;13.80
3069;14.64;;U' B2 D R2 D' U2 B2 R2 F2 R D F R' U2 B' U2 F2 L;2021-01-31 17:57:13;14.64
3070;11.19;;U' L2 U2 F2 R2 F' U2 F D2 F L2 B' F' U L2 B' R' D2 B2 R' D;2021-01-31 17:57:39;11.19
3071;12.26;;U' B' L2 F L2 F2 R D' F2 R2 D B2 D' R2 U L2 D' F2 U2 L' U;2021-01-31 17:57:59;12.26
3072;12.84;;L' B' R2 U L2 D B2 U' F2 D' U R D' U2 B2 R' B F2;2021-01-31 17:58:25;12.84
3073;15.94;;B R2 F L2 B U2 F2 R2 U2 R2 B L' U L2 R' U' B' L' F2 U' B';2021-01-31 17:58:50;15.94
3074;13.00;;R B' L2 F2 D2 F' R2 F D2 L2 B R' D L2 B U L' F U' B';2021-01-31 17:59:31;13.00
3075;15.79;;F2 R' D2 F' R2 B' U' B' L2 B R2 B U2 B2 U2 L2 B R2 U2 L B';2021-01-31 17:59:56;15.79
3076;13.25;;D R F U2 F L B' L2 D' L2 F2 D B2 U2 D' F' U';2021-01-31 18:00:22;13.25
3077;14.84;;R' U2 B L' D' L B R' F B2 D R2 B2 U B2 L2 U' R2 B2 L2 U;2021-01-31 18:00:46;14.84
3078;15.26;;R' F U D L B L' U D2 F2 R2 F R2 D2 B L2 D2 B2 R;2021-01-31 18:01:14;15.26
3079;12.52;;U2 D B L' F R' D' F' R2 B' D2 R2 L2 F R2 B2 U2 L2 U2 D' R2;2021-01-31 18:01:42;12.52
3080;14.07;;D B D2 F2 U' L' B F2 U2 B2 R2 D B2 D L2 U2 B2 L2 F2 B' R';2021-01-31 18:02:07;14.07
3081;10.92;;U L2 D2 L2 B2 R2 U' L2 F2 D U L U' R F2 D' B L B2 U' F2;2021-01-31 18:02:32;10.92
3082;10.96;;L B2 U2 D2 L F' B R' F2 L2 D B2 D2 L2 F2 U2 R2 F';2021-01-31 18:02:52;10.96
3083;10.56;;F2 L' U L2 U' F2 U R2 B2 R2 D' F2 B R F D2 R D' B2 D2;2021-01-31 18:03:13;10.56
3084;15.52;;F2 L2 F2 D B R U B' L2 B2 R2 D2 B' R2 F L2 F2 D' L2;2021-01-31 18:03:35;15.52
3085;13.66;;U' L' B R2 L' U' L' D' F' R2 U' F2 U F2 U R2 U' L2 U L2 D';2021-01-31 18:04:06;13.66
3086;12.09;;B R D L2 B2 U L2 U' B2 U L2 U2 R2 U F' R' U' R B' U2 B';2021-01-31 18:04:30;12.09
3087;12.46;;F' B2 L R2 U2 F2 L D2 U2 B2 D' L' D L' U' L R D;2021-01-31 18:04:57;12.46
3088;11.20;;R U2 R2 D2 F' R2 B D2 R2 F2 R2 B' F2 R' B' R' U L' B' D' B;2021-01-31 18:05:24;11.20
3089;12.78;;F2 U B2 F2 D L2 U' B2 R2 U B2 U B' L2 D' B' R2 B R' F2 R2;2021-01-31 18:05:51;12.78
3090;15.07;;R L2 D' R2 D F2 R2 B2 L2 U' B2 L D' L2 B' U B L' U2;2021-01-31 18:06:15;15.07
3091;17.22;;F R' L F' R U F2 D R2 B2 U2 R2 F' L2 F' D2 F' U2 F2 D';2021-01-31 18:06:56;17.22
3092;14.67;;L U' D' B' R2 L' F R U B2 D' B2 U2 F2 L2 B2 U2 L2 D2 R;2021-01-31 18:07:23;14.67
